project,merge commit,filter reason
k-9,3921f57906c564572a37bfd8cd242aa2c113023f,no mutually modified static blocks
k-9,1835b502b5beab7ae73dfa4450ac1c6030bd6e03,no mutually modified static blocks
k-9,e3178a5117459b365786d72242556ea178b0b5dc,no mutually modified static blocks
k-9,57bde56e169ff54e642caf9979e9fb7c68e25ddd,no mutually modified static blocks
k-9,733624cfcfc0ac141134fa6084392c74227d693d,no mutually modified static blocks
k-9,b7dc6d9146a29f6ea5e0c24a56873db77409bb1b,no mutually modified static blocks
k-9,2c95b7df65f3b9779c16e6a48157bb50bcbebb0a,no mutually modified static blocks
k-9,7a652101992f366c9e5ebd43d34a01b853616b07,no mutually modified static blocks
k-9,68405c91b4f96b10cb9871fde068e7bbb7544388,no mutually modified static blocks
k-9,4fbe07ed1c3635f59eaf7470f50232ee730b3113,no mutually modified static blocks
k-9,b76d112c0244fd1ca09c066e90873b46c0bc9f48,no mutually modified static blocks
k-9,b8d7c052d8f3776802e6428f4d25955ab76c9f62,no mutually modified static blocks
k-9,0c7751340758bc33e60742dc92a89976c156d8a7,no mutually modified static blocks
k-9,b8edb11eea7819d4b164b69a5adf0b4368b3104a,no mutually modified static blocks
k-9,8673e6695fd198ca29295318883b51ead350d4ce,no mutually modified static blocks
k-9,b2e8e4b8b0a34431e4ca9b054033ee5aef1c762a,no mutually modified static blocks
